"PTES";"ESP";"METER";"ACCOUNT_NO";"EARLIEST_OCCURRED_TIME";"LATEST_OCCURRED_TIME";"EVENT_NAME";"EVENT_CODE"
"01.08.2024";"1";"1";"1";"2024-08-01 14:46:59";"2024-08-01 14:46:59";"1";"1"
Qashqadaryo HETK;Qamashi TETK;"121206463060";"1390342";"2024-07-30 05:54:40";"2024-07-30 06:14:46";Current unbalance occurrence;"0030"
Farg‘ona HETK;Marg‘ilon ShETK;"111200204986";"20517324";"2024-08-01 14:45:57";"2024-08-01 14:45:57";Current unbalance occurrence;"0030"
Farg‘ona HETK;Furqat TETK;"111200967889";"2018023";"2024-08-01 14:45:33";"2024-08-01 14:45:33";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yunusobod TETK;"121206650836";"1457509";"2024-07-31 17:47:52";"2024-07-31 17:47:52";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yunusobod TETK;"121206650349";"1457500";"2024-07-31 13:10:31";"2024-07-31 13:10:31";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yashnobod TETK;"121206967728";"0847142";"2024-07-30 18:09:39";"2024-07-30 18:09:39";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yashnobod TETK;"121206954221";"0847272";"2024-07-30 10:27:57";"2024-07-30 10:32:16";Terminal cover opened;"0050"
Toshkent shahar ETK;Yashnobod TETK;"121206954932";"0847235";"2024-07-30 12:33:40";"2024-07-31 21:04:03";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yashnobod TETK;"121206954933";"0847240";"2024-07-30 10:32:32";"2024-07-30 19:38:41";Current unbalance occurrence;"0030"
Toshkent shahar ETK;Yashnobod TETK;"121206960394";"0847198";"2024-07-29 17:11:28";"2024-07-29 17:11:28";Current unbalance occurrence;"0030"
Qoraqalpoq HETK;Nukus ShETK;"121206630787";-1;"2024-05-07 12:53:08";"2024-05-07 12:53:08";Terminal cover opened;"0050"
Qashqadaryo HETK;Dehqonobod TETK;"121205819720";"00700302";"2024-07-31 07:13:34";"2024-07-31 22:03:02";Current unbalance occurrence;"0030"
Toshkent HETK;Chinoz TETK;"111210821337";"510224";"2024-07-26 09:49:47";"2024-07-26 09:49:47";Terminal cover opened;"0050"
Qashqadaryo HETK;Kasbi TETK;"121205476659";"0032088";"2024-07-31 09:05:35";"2024-07-31 18:40:35";Current unbalance occurrence;"0030"
Qashqadaryo HETK;Kasbi TETK;"121205476693";"0030277";"2024-07-31 05:26:47";"2024-07-31 21:44:11";Current unbalance occurrence;"0030"
